x,y,accuracy,total_confidence
39.2796017,-6.8224933,23.0,4620
39.2796017,-6.8224933,23.0,4620
39.1392216,-6.7911933,4.9,0
39.1462299,-6.7913066,14.0,0
39.1572449,-6.787305,3.9,56
39.157875,-6.787085,4.7,63
39.19973,-6.7792666,6.1,22
39.2085383,-6.7877916,3.9,31
39.2086799,-6.78796,5.5,49
39.2292383,-6.7644933,4.1,87
39.231255,-6.76578,23.1,76
39.2381733,-6.7711599,5.4,40
39.2391183,-6.7719216,13.1,66
39.2554233,-6.7784866,5.4,53
39.2565783,-6.7782383,14.0,50
39.1792283,-6.6656783,20.0,0
39.1795366,-6.6656516,20.0,5
39.1829649,-6.661365,20.0,111
39.183675,-6.6589333,20.0,78
39.2460801,-6.7764802,8.0,31
39.2754369,-6.7535098,27.0,0
39.2054531,-6.8635841,45.0,9500
39.2005349,-6.865785,5.9,0
39.2818037,-6.7971958,8.0,44
39.2311166,-6.8514833,6.3,0
39.192185,-6.8699816,5.1,0
39.2463805,-6.8439426,39.0,8500
39.2311166,-6.8514833,6.3,0
39.275251,-6.8047859,37.5,0
39.1638716,-6.7853866,18.4,6
39.16398,-6.7857583,11.2,12
39.2809468,-6.7949663,5.0,0
39.2595283,-6.7780301,30.0,0
39.3335046,-6.9370803,40.5,0
39.2418895,-6.7741912,40.5,0
39.241905,-6.774175,54.0,0
39.2613785,-6.7670668,30.0,10000
39.2548429,-6.7627932,15.0,32
39.2730974,-6.8233469,100.0,0
39.3337697,-6.9364034,40.5,0
39.2754638,-6.7536803,36.0,0
39.2821422,-6.7981345,45.0,39
39.2705,-6.8267739,67.5,0
39.2610613,-6.7671306,30.916,0
39.2610613,-6.7671306,30.916,0
39.2707819,-6.8265345,40.5,0
39.2785775,-6.7864812,57.0,0
39.2846859,-6.8025697,34.5,0
39.2767408,-6.8036558,34.5,0
39.2602873,-6.7777636,39.0,0
39.2220484,-6.7726186,24.0,0
39.2220484,-6.7726186,24.0,0
39.2202122,-6.7736117,60.0,0
39.2202122,-6.7736117,60.0,0
39.139195,-6.79121,7.4,2200
39.2750949,-6.8183104,39.0,0
39.2611432,-6.7776035,61.5,6700
